  NO       S1       S2            SCORE
   1        3       13       724.270859
   2        9       33       724.270859
   3       20       21       724.270859
   4        0       11       718.197709
   5       80       82       718.197709
   6        1        7       712.124560
   7        8       16       709.698221
   8        2        6       706.051410
   9       12       15       703.625071
  10        5       17       686.618792
  11     7972    14513       340.507686
  12     4178    10847       336.853571
  13      850     5798       330.787725
  14      458    12108       330.780421
  15     9485    11522       329.567252
  16      676    12866       328.354083
  17     8698    14839       328.354083
  18     1940    14203       328.354083
  19     4562     5631       328.346780
  20     1843    14310       327.148217
